scheme_type	topic_number	average coherence	coherence_dist
c_uci	14	-3.714626	-7.824694, -2.495791, -0.444916, -8.841353, -12.40778, -7.189035, -0.546050, -0.857231, -3.526374, -0.920774, -0.326760, -0.584696, -1.824804, -4.214504
c_npmi	14	-0.096553	-0.249270, -0.069812, 0.0342681, -0.248833, -0.423825, -0.225776, 0.0063856, 0.0008969, -0.105515, 0.0265368, -0.010119, 0.0085123, 0.0047259, -0.099918
c_v	14	0.6715386	0.7005937, 0.6455563, 0.6476347, 0.7163247, 0.7965311, 0.6250547, 0.6645383, 0.6521354, 0.6345892, 0.7131458, 0.5798977, 0.6564835, 0.7113344, 0.6577202
u_mass	15	-6.005838	-2.443134, -2.893791, -6.548935, -3.035925, -2.659684, -3.680229, -13.54280, -3.820276, -8.316703, -6.954649, -3.792400, -4.163422, -3.866944, -4.491155, -19.87751
c_uci	15	-2.959616	-0.660711, -1.095609, -3.372035, -0.889512, 0.0320366, -1.293671, -8.106783, -1.402131, -5.181079, -5.011776, -1.745254, -1.927106, -0.851997, -1.497448, -11.39116
c_npmi	15	-0.063802	-0.024228, -0.023747, -0.056900, 0.0002895, 0.0548029, 0.0022269, -0.234899, 0.0010874, -0.153891, -0.148918, -0.016552, -0.039400, 0.0421496, 0.0017563, -0.360814
c_v	15	0.6480192	0.5489601, 0.5777865, 0.6232394, 0.5893166, 0.6894620, 0.7014816, 0.6825071, 0.6970360, 0.6179567, 0.6259070, 0.6464021, 0.6399497, 0.6864800, 0.6143539, 0.7794496
u_mass	16	-5.427407	-2.908947, -3.531552, -3.492494, -16.80347, -2.301149, -2.698874, -2.876407, -2.872979, -3.457576, -18.90554, -7.691520, -3.409947, -2.583529, -6.292747, -3.494516, -3.517252
c_uci	16	-2.713501	-0.701985, -0.824591, -0.967010, -9.595746, -0.410742, -0.535656, -1.322807, -0.270459, -2.104195, -11.39315, -6.138700, -1.185753, -0.019711, -4.356641, -1.669692, -1.919165
c_npmi	16	-0.052904	0.0487599, 0.0321382, 0.0108104, -0.292652, -0.020929, 0.0312379, -0.023236, 0.0724519, -0.056045, -0.374282, -0.153952, -0.009222, 0.0358778, -0.114981, -0.020551, -0.011889
c_v	16	0.6546358	0.6710146, 0.6490375, 0.5680846, 0.7400731, 0.5624465, 0.6661776, 0.6198951, 0.7062002, 0.6023117, 0.7691150, 0.6887645, 0.6340559, 0.6356416, 0.6350056, 0.6575832, 0.6687654
u_mass	17	-6.872166	-4.647354, -2.617797, -2.581542, -11.89565, -2.285735, -3.410122, -4.950593, -2.298003, -3.020626, -18.69043, -19.25802, -5.043744, -3.559232, -8.608419, -2.498099, -2.924818, -18.53663
c_uci	17	-3.540519	-2.591988, -0.642611, -0.496699, -7.400881, -0.208991, -0.806580, -3.556748, -0.003796, -0.219486, -10.13909, -11.09071, -2.409539, -1.021745, -5.921951, -1.046386, -1.432859, -11.19875
c_npmi	17	-0.082270	-0.026526, 0.0429718, -0.002468, -0.188393, -0.001189, 0.0228051, -0.093632, 0.0394334, 0.0484643, -0.293643, -0.349655, -0.043841, 0.0329815, -0.178251, -0.028563, -0.020103, -0.358987
c_v	17	0.6888513	0.7002477, 0.6642721, 0.6655791, 0.7280431, 0.6005360, 0.7063184, 0.6654370, 0.6603063, 0.7016526, 0.8024157, 0.8036626, 0.6251502, 0.7105555, 0.6710405, 0.6080900, 0.6526367, 0.7445279
u_mass	18	-5.973251	-18.89306, -3.060470, -2.307602, -2.667385, -2.624527, -8.104952, -4.097698, -6.007388, -10.11866, -4.613601, -7.401945, -8.187132, -5.728289, -2.207743, -4.801555, -3.132739, -5.705216, -7.858537
c_uci	18	-3.257164	-11.31629, -0.704438, 0.0332970, -1.940938, -0.324739, -4.785511, -1.304540, -3.299983, -5.957160, -2.766710, -4.145363, -4.415134, -3.829764, 0.0033939, -2.053103, -1.695282, -4.844793, -5.281887
c_npmi	18	-0.068065	-0.364858, 0.0013705, 0.0671093, -0.010787, 0.0259403, -0.096989, 0.0130725, -0.075853, -0.149567, -0.039473, -0.120100, -0.077792, -0.106678, 0.0039276, -0.035575, -0.027212, -0.125289, -0.106420
c_v	18	0.6670362	0.7806249, 0.6316173, 0.6594168, 0.6981029, 0.6365383, 0.7299607, 0.6603903, 0.6625272, 0.6731393, 0.7133861, 0.5848485, 0.7100619, 0.6328666, 0.5888704, 0.6414578, 0.6407947, 0.6712873, 0.6907599
u_mass	19	-6.235216	-4.135968, -3.035786, -6.636479, -2.252745, -15.27516, -3.022059, -16.17070, -3.536704, -2.619909, -2.722858, -2.448921, -10.15725, -2.511152, -3.613557, -3.269271, -6.802356, -5.723239, -19.38723, -5.147726
c_uci	19	-3.193345	-1.752567, -1.345875, -4.450377, -0.646974, -10.47820, -0.782086, -8.824049, -1.258195, -0.757488, -0.901392, 0.1759185, -6.782078, -0.701955, -1.526884, -1.391933, -4.148189, -2.509241, -10.68987, -1.902116
c_npmi	19	-0.069458	-0.004151, 0.0044252, -0.120116, -0.010127, -0.322567, 0.0469510, -0.226835, -0.002483, -0.018548, -0.002162, 0.0537154, -0.178568, -0.018660, -0.035948, -0.025549, -0.089823, -0.013457, -0.341909, -0.013898
c_v	19	0.6885383	0.7261851, 0.7100058, 0.6859209, 0.6315400, 0.8048819, 0.7102919, 0.8057117, 0.6231051, 0.6571851, 0.6977992, 0.6690077, 0.7025493, 0.6006469, 0.6542629, 0.6433032, 0.6507352, 0.6952519, 0.7524513, 0.6613924
u_mass	20	-6.600735	-4.261960, -3.080334, -13.63999, -2.337953, -3.632824, -3.639576, -12.26725, -16.52056, -4.153172, -2.332206, -4.493694, -2.106719, -3.582630, -15.52902, -6.257249, -2.718811, -5.395506, -11.74109, -9.928982, -4.395158
c_uci	20	-3.833293	-2.147793, -1.020993, -7.901098, -0.420616, -1.828726, -1.343543, -8.421739, -10.89270, -1.410466, -0.795035, -2.610559, -0.016525, -1.449205, -9.737315, -3.625275, -1.723507, -5.577286, -6.892203, -5.728323, -3.122948
c_npmi	20	-0.092171	-0.009028, -0.001755, -0.210746, -0.020959, -0.025324, 0.0125232, -0.249526, -0.349924, 0.0146805, 0.0157628, -0.040626, 0.0369003, -0.004979, -0.311614, -0.054991, -0.041034, -0.166512, -0.197954, -0.153131, -0.085181
c_v	20	0.6793147	0.7204871, 0.6803845, 0.7422676, 0.5894707, 0.6596788, 0.7143648, 0.6865384, 0.7909856, 0.6703293, 0.6486926, 0.6825363, 0.6393048, 0.6714239, 0.7055820, 0.7106641, 0.6458589, 0.6460641, 0.6659254, 0.7021362, 0.6135979
u_mass	21	-6.307626	-2.516883, -3.474072, -4.624477, -21.68124, -7.714988, -4.313057, -4.469548, -2.228234, -11.82489, -6.981925, -2.411662, -8.007032, -3.452005, -5.787532, -14.36213, -6.686136, -3.132935, -2.181085, -5.783393, -3.814852, -7.012064
c_uci	21	-3.558397	-1.762146, -1.007687, -2.332459, -12.12312, -4.469444, -2.615196, -3.053614, 0.0021382, -9.013227, -4.909060, -0.597982, -5.892288, -0.921069, -2.248679, -9.367447, -4.617765, -0.602462, 0.0177264, -3.403660, -2.032232, -3.776658
c_npmi	21	-0.080140	-0.045186, 0.0367877, -0.019026, -0.397474, -0.099389, -0.049569, -0.076377, 0.0401263, -0.286013, -0.138442, 0.0045950, -0.167751, 0.0241811, -0.009450, -0.295556, -0.133195, 0.0206255, 0.0060040, -0.066836, 0.0158537, -0.046860
c_v	21	0.6798328	0.6773186, 0.7164256, 0.7047250, 0.8544461, 0.6984011, 0.6384958, 0.6502705, 0.6397724, 0.6695873, 0.6563580, 0.6478593, 0.6628329, 0.6848590, 0.6744848, 0.7207684, 0.6182960, 0.6203669, 0.6170459, 0.6843297, 0.7155530, 0.7242926
u_mass	22	-6.127793	-2.179063, -9.938192, -5.202619, -8.712045, -5.213215, -2.392448, -2.592089, -17.03045, -13.43590, -3.069307, -4.953354, -2.770992, -5.818330, -4.167421, -2.694215, -2.338320, -4.593977, -12.94558, -7.193878, -8.243356, -6.177528, -3.149142
c_uci	22	-3.509000	0.1394208, -8.279800, -2.375120, -6.155481, -2.740471, -0.669932, -0.614225, -10.86763, -8.409322, -0.848963, -2.239459, -0.639513, -3.426638, -2.342176, -1.715736, 0.0061598, -2.190693, -9.381596, -4.160817, -5.011647, -3.560261, -1.714100
c_npmi	22	-0.078233	0.0467293, -0.249505, 0.0077370, -0.177735, -0.036704, -0.024193, 0.0131151, -0.338853, -0.241047, 0.0005247, 0.0104873, 0.0116823, -0.091497, -0.017255, -0.048620, 0.0410846, -0.006799, -0.295838, -0.115291, -0.124917, -0.054130, -0.030104
c_v	22	0.6860685	0.6463492, 0.7319173, 0.7141460, 0.6751628, 0.6839565, 0.5856771, 0.6644682, 0.8418968, 0.7415868, 0.6696692, 0.7496535, 0.6442188, 0.6903149, 0.6871037, 0.6233281, 0.6500895, 0.6875061, 0.7319021, 0.6470974, 0.6884650, 0.7024862, 0.6365114
u_mass	23	-6.507251	-3.107754, -5.832029, -5.904088, -15.89684, -3.847031, -11.30788, -3.446947, -2.896626, -4.961715, -2.297542, -3.432838, -8.816334, -2.085188, -3.709154, -3.099788, -5.302788, -9.003158, -4.060188, -14.93990, -14.18797, -7.483871, -11.90250, -2.144616
c_uci	23	-3.790187	-1.223681, -3.396915, -3.570443, -10.10747, -1.439407, -8.265243, -1.624657, -1.442630, -2.922825, -0.188421, -0.882759, -7.238982, 0.1666465, -1.654838, -1.770187, -2.636238, -6.172907, -1.726780, -8.415194, -9.950949, -4.673547, -7.995010, -0.041860
c_npmi	23	-0.089630	-0.005510, -0.070205, -0.109897, -0.313747, -0.002009, -0.253736, 0.0003860, -0.014571, -0.054317, 0.0651060, 0.0264887, -0.229149, 0.0426987, 0.0018565, -0.039746, -0.038184, -0.177284, -0.014607, -0.241584, -0.285574, -0.088675, -0.259478, 0.0002482
c_v	23	0.6924784	0.6977358, 0.6906840, 0.6448180, 0.7510535, 0.6730041, 0.7116766, 0.6967541, 0.6696388, 0.6996332, 0.6906335, 0.6865405, 0.6899297, 0.6420854, 0.7159959, 0.6465681, 0.7083043, 0.6877271, 0.6523486, 0.7189590, 0.8494346, 0.7272991, 0.6608092, 0.6153713
u_mass	24	-5.751106	-3.852323, -4.962814, -5.229040, -3.251715, -3.348800, -3.717365, -4.972520, -2.400818, -2.630600, -14.33213, -3.454198, -3.996725, -18.76444, -5.460676, -6.435621, -3.836316, -12.15262, -2.894593, -2.491005, -3.680806, -6.714138, -6.371462, -6.586200, -6.489612
c_uci	24	-3.310722	-2.287809, -3.503680, -2.805531, -0.807835, -1.853787, -1.353037, -2.833014, -0.245746, -0.574501, -8.529051, -1.056399, -1.491764, -11.68969, -3.464894, -4.544568, -2.130167, -7.328801, -1.197397, -0.457836, -2.789830, -4.933494, -4.119120, -5.036831, -4.422540
c_npmi	24	-0.072761	-0.028180, -0.098687, -0.048111, 0.0304644, -0.003719, 0.0118657, -0.032894, 0.0146306, 0.0344916, -0.246432, 0.0055328, 0.0142260, -0.382017, -0.068274, -0.104675, -0.030597, -0.229390, -0.013454, -0.007965, -0.071220, -0.129877, -0.111329, -0.133544, -0.117118
c_v	24	0.6577922	0.6947459, 0.5889500, 0.6273966, 0.6727554, 0.6850176, 0.6513338, 0.6828911, 0.6155443, 0.6261462, 0.7170654, 0.6148613, 0.6793706, 0.8369731, 0.6883114, 0.6598110, 0.6338992, 0.6561170, 0.6441734, 0.5592825, 0.6047728, 0.6587390, 0.6491940, 0.6653338, 0.6743277
u_mass	25	-6.356401	-4.068806, -4.796512, -4.373839, -4.946717, -3.950778, -3.175497, -11.17174, -9.026917, -15.82618, -3.907836, -7.879518, -2.757476, -2.551237, -8.446241, -2.886995, -3.063555, -15.02836, -7.401119, -2.250516, -4.140059, -6.994427, -13.17680, -7.061430, -7.313717, -2.713753
c_uci	25	-3.740297	-1.473447, -3.306204, -1.789652, -2.885550, -2.427223, -1.368016, -6.071690, -6.099947, -10.48149, -1.351552, -5.272500, -1.412308, -0.430802, -5.233806, -1.804727, -1.250619, -10.48911, -3.904339, -0.342335, -2.608819, -5.006224, -8.970885, -3.945036, -5.078610, -0.502528
c_npmi	25	-0.087120	-0.011430, -0.069125, -0.001329, -0.081907, -0.030439, -0.012046, -0.126631, -0.178957, -0.327652, 0.0126172, -0.148795, -0.009064, 0.0179391, -0.099992, -0.041227, 0.0118762, -0.341072, -0.071142, -0.011532, -0.055031, -0.130181, -0.286213, -0.084286, -0.127113, 0.0247227
c_v	25	0.6917854	0.6824939, 0.6973079, 0.6714690, 0.6582531, 0.7011548, 0.6470407, 0.7615901, 0.6855131, 0.8539302, 0.6827953, 0.6879232, 0.6719345, 0.6649449, 0.7362298, 0.6343267, 0.7112306, 0.7405666, 0.7045205, 0.5905496, 0.6766869, 0.7133028, 0.7042957, 0.6839388, 0.6989065, 0.6337301
u_mass	26	-7.067183	-18.82194, -2.807033, -6.579130, -4.021942, -6.332972, -4.076222, -13.57835, -3.104486, -9.213734, -4.120735, -13.50696, -2.625805, -4.430163, -8.192950, -7.214978, -3.248921, -5.056259, -5.159806, -4.507179, -13.32341, -13.27574, -2.411256, -3.633069, -2.265557, -16.94458, -5.293546
